x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.1,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.515407659
0.1,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.71130799
0.1,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.734259388
0.1,0.4,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.705698081
0.1,0.5,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.612281333
0.1,0.6,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.498079929
0.1,0.7,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.434852621
0.1,0.8,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.349830202
0.1,0.9,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.333254949
0.2,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.190541543
0.2,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.382727353
0.2,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.455745879
0.2,0.4,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.446218376
0.2,0.5,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.383392905
0.2,0.6,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.331150408
0.2,0.7,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.196142512
0.2,0.8,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.2,0.9,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.180719704
0.3,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.131217829
0.3,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.4,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.243595448
0.3,0.5,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.264637511
0.3,0.6,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.7,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.3,0.8,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,0.130217575
0.3,0.9,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.4,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.5,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.6,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.7,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.8,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.4,0.9,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
